,docs/libro1_clean.txt,docs/libro2_clean.txt,docs/libro3_clean.txt,docs/libro4_clean.txt,docs/libro5_clean.txt,docs/libro6_clean.txt
111º,1,0,0,0,0,0
``,0,0,0,1,0,0
abajo,0,0,0,0,0,1
abierto,0,0,0,0,1,0
abismo,0,1,1,0,0,0
acaba,1,0,0,1,1,0
acababa,1,0,0,0,0,0
acaban,1,0,0,0,0,1
acabaron,0,0,0,0,0,1
acabó,1,0,0,0,0,0
acampar,0,0,0,0,1,0
accidentalmente,1,0,0,0,0,0
acción,0,0,1,0,0,0
acebeda,0,1,0,0,0,0
acercaran,0,1,0,0,0,0
acompaña,1,0,0,0,0,0
acompañado,0,0,0,0,0,1
acompañados,1,0,0,0,1,0
acompañar,0,1,0,0,0,0
acompañaran,0,0,0,0,1,0
acompañarle,1,0,0,0,0,0
acompañarían,0,1,0,0,0,0
acompañó,0,0,0,0,0,1
aconseja,0,0,1,0,0,0
acontecimientos,0,1,1,0,0,0
actos,0,0,1,0,0,0
acude,1,0,0,0,1,0
acuden,1,0,0,0,0,0
acudir,0,0,0,0,0,1
acudirían,0,1,0,0,0,0
acudió,1,0,0,0,0,0
adentrarse,1,0,0,0,0,0
afortunadamente,0,0,0,1,0,0
agotamiento,0,0,0,0,0,1
agua,0,1,0,0,0,0
aire,0,0,0,0,0,1
alcanzados,0,1,0,0,0,0
aldea,1,0,0,0,0,0
alegría,0,0,0,0,0,1
alerta,1,0,0,0,0,0
alertado,0,0,0,0,1,0
alertar,0,0,0,1,0,0
allí,1,1,0,0,1,1
alternativo,0,0,0,0,1,0
amenazas,0,0,0,1,0,0
amigo,1,0,0,0,0,0
amigos,1,1,1,0,0,0
amo,0,1,0,1,0,1
amon,1,1,0,0,0,0
anduin,1,1,0,0,1,0
anillo,1,1,0,1,0,1
aniquilado,0,1,0,0,0,0
antigua,0,1,0,0,0,0
anular,0,0,0,0,0,1
apagado,0,0,0,1,0,0
aparecer,0,0,0,1,0,0
aparecieron,0,1,0,0,0,0
apareció,0,1,0,0,0,0
aparentemente,0,0,1,1,0,0
apartó,0,1,0,0,0,0
apenados,0,1,0,0,0,0
apoderarse,0,0,0,0,0,1
apoyo,0,0,0,0,1,0
apresados,0,0,1,0,0,0
apresura,0,0,1,0,0,0
apresuró,0,0,0,0,1,0
aprovechan,0,0,0,0,0,1
